time,type,size,volatility,open,high,low,close
2022-05-02 09:00,Green,0.0022799969,234.8153,1.25418,1.25642,1.25414,1.25601
2022-05-02 10:00,Green,0.0023399591,235.06529,1.25601,1.25807,1.25573,1.25734
2022-05-02 11:00,Red,0.0017399788,234.52956,1.25733,1.25871,1.25697,1.25723
2022-05-02 12:00,Green,0.0016300678,234.93436,1.25723,1.25802,1.25639,1.25737
2022-05-02 13:00,Red,0.001349926,234.00574,1.25738,1.25769,1.25634,1.25684
2022-05-02 14:00,Red,0.0015199184,232.75569,1.25685,1.25707,1.25555,1.25604
2022-05-02 15:00,Red,0.00327003,233.28543,1.25603,1.2567,1.25343,1.25365
2022-05-02 16:00,Green,0.0014799833,232.24977,1.25366,1.25491,1.25343,1.25374
2022-05-02 17:00,Red,0.004130006,232.339,1.25367,1.25467,1.25054,1.25187
2022-05-02 18:00,Green,0.0018100739,231.55934,1.25188,1.25212,1.25031,1.25208
2022-05-02 19:00,Red,0.0031399727,232.4224,1.25207,1.25242,1.24928,1.24973
2022-05-02 20:00,Red,0.0019899607,232.66046,1.24973,1.25,1.24801,1.2482
2022-05-02 21:00,Red,0.0015701056,232.67834,1.24819,1.24881,1.24724,1.24726
2022-05-02 22:00,Green,0.0019900799,233.38074,1.24727,1.24924,1.24725,1.24897
2022-05-02 23:00,Green,0.0009899139,233.44617,1.24897,1.24943,1.24844,1.24915
2022-05-03 00:00,Red,0.0012099743,233.6069,1.24849,1.24918,1.24797,1.24838
2022-05-03 01:00,Green,0.001380086,234.13675,1.24857,1.24995,1.24857,1.24961
2022-05-03 02:00,Green,0.00073993206,233.89265,1.24961,1.2499,1.24916,1.24988
2022-05-03 03:00,Green,0.0023999214,234.35684,1.24987,1.25207,1.24967,1.25192
2022-05-03 04:00,Green,0.001420021,234.51765,1.25191,1.25229,1.25087,1.25198
2022-05-03 05:00,Green,0.0012500286,234.80334,1.25198,1.25274,1.25149,1.25212
2022-05-03 06:00,Green,0.0015199184,234.93425,1.25211,1.25322,1.2517,1.25309
2022-05-03 07:00,Red,0.0029699802,235.95804,1.25308,1.25409,1.25112,1.25123
2022-05-03 08:00,Green,0.0015900135,235.99379,1.25125,1.25221,1.25062,1.25149
2022-05-03 09:00,Red,0.0024299622,233.4342,1.25148,1.25291,1.25048,1.25122
2022-05-03 10:00,Green,0.003919959,231.74968,1.2513,1.25449,1.25057,1.25368
2022-05-03 11:00,Green,0.0023399591,231.10081,1.25374,1.25551,1.25317,1.25405
2022-05-03 12:00,Red,0.0022499561,230.37463,1.25404,1.25404,1.25179,1.25222
2022-05-03 13:00,Red,0.0031799078,229.61261,1.25223,1.25243,1.24925,1.24942
2022-05-03 14:00,Green,0.0041799545,230.99948,1.24942,1.25343,1.24925,1.25315
2022-05-03 15:00,Green,0.0035699606,231.44592,1.25314,1.25668,1.25311,1.25571
2022-05-03 16:00,Red,0.003700018,231.3804,1.25571,1.25659,1.25289,1.25386
2022-05-03 17:00,Red,0.003720045,231.11258,1.2538,1.2544,1.25068,1.25113
2022-05-03 18:00,Red,0.0020899773,231.36853,1.25113,1.25263,1.25054,1.25094
2022-05-03 19:00,Red,0.0022900105,231.57684,1.25091,1.25094,1.24865,1.24876
2022-05-03 20:00,Green,0.0026999712,232.36844,1.24876,1.25142,1.24872,1.24961
2022-05-03 21:00,Red,0.0029599667,232.95178,1.24961,1.24997,1.24701,1.24903
2022-05-03 22:00,Green,0.0013099909,232.74344,1.249,1.24971,1.2484,1.24964
2022-05-03 23:00,Red,0.0014499426,232.82083,1.24959,1.2497,1.24825,1.2495
2022-05-04 00:00,Red,0.001330018,232.93391,1.2495,1.2496,1.24827,1.24946
2022-05-04 01:00,Green,0.0009499788,232.71364,1.24961,1.25027,1.24932,1.24984
2022-05-04 02:00,Red,0.00069999695,232.73145,1.24984,1.25,1.2493,1.24981
2022-05-04 03:00,Red,0.0015599728,232.88618,1.24978,1.25054,1.24898,1.24958
2022-05-04 04:00,Red,0.0011900663,231.58264,1.2496,1.25001,1.24882,1.24933
2022-05-04 05:00,Red,0.0010399818,231.70761,1.24933,1.24964,1.2486,1.249
2022-05-04 06:00,Red,0.0012500286,231.7433,1.24898,1.24946,1.24821,1.24832
2022-05-04 07:00,Red,0.0006799698,231.46947,1.24832,1.24883,1.24815,1.24818
2022-05-04 08:00,Red,0.0010900497,231.27307,1.24819,1.24819,1.2471,1.24777
2022-05-04 09:00,Green,0.00237,228.1064,1.2478,1.24902,1.24665,1.24874
2022-05-04 10:00,Green,0.0027400255,227.98148,1.24875,1.25143,1.24869,1.25122
2022-05-04 11:00,Green,0.0019500256,227.46361,1.25121,1.2524,1.25045,1.25146
2022-05-04 12:00,Red,0.0015100241,227.01721,1.25149,1.2517,1.25019,1.25093
2022-05-04 13:00,Green,0.0018199682,226.83861,1.25093,1.25199,1.25017,1.25192
2022-05-04 14:00,Red,0.0017199516,225.12425,1.25191,1.25211,1.25039,1.251
2022-05-04 15:00,Green,0.0031199455,225.67781,1.25096,1.25359,1.25047,1.25296
2022-05-04 16:00,Red,0.0055099726,227.88019,1.25295,1.2537,1.24819,1.24854
2022-05-04 17:00,Green,0.0037299395,228.6004,1.24851,1.25043,1.2467,1.24991
2022-05-04 18:00,Red,0.0022300482,228.6004,1.24994,1.25072,1.24849,1.24872
2022-05-04 19:00,Green,0.0015100241,227.27904,1.24873,1.2494,1.24789,1.24938
2022-05-04 20:00,Red,0.0019899607,227.6302,1.24939,1.24997,1.24798,1.24885
2022-05-04 21:00,Green,0.013720036,234.8326,1.24871,1.25881,1.24509,1.25733
2022-05-04 22:00,Green,0.009259939,239.45158,1.25739,1.26375,1.25449,1.26164
2022-05-04 23:00,Green,0.0026299953,240.54088,1.26167,1.26375,1.26112,1.26241
2022-05-05 00:00,Green,0.0015500784,239.99928,1.26237,1.26337,1.26182,1.26322
2022-05-05 01:00,Red,0.0027599335,241.17184,1.26319,1.2633,1.26054,1.26065
2022-05-05 02:00,Green,0.0016798973,241.84445,1.26066,1.26216,1.26048,1.26159
2022-05-05 03:00,Red,0.0026299953,242.38615,1.26164,1.26265,1.26002,1.26087
2022-05-05 04:00,Green,0.0026099682,242.99924,1.26087,1.26326,1.26065,1.26237
2022-05-05 05:00,Red,0.0024000406,243.40402,1.26238,1.26284,1.26044,1.26045
2022-05-05 06:00,Red,0.0026500225,244.23148,1.26045,1.26055,1.2579,1.25795
2022-05-05 07:00,Red,0.0039000511,246.02911,1.25795,1.25802,1.25412,1.25467
2022-05-05 08:00,Green,0.0024299622,247.00528,1.25467,1.25674,1.25431,1.25524
2022-05-05 09:00,Red,0.0033999681,247.39813,1.25526,1.25677,1.25337,1.25346
2022-05-05 10:00,Green,0.002769947,247.12428,1.25346,1.25447,1.2517,1.2542
2022-05-05 11:00,Green,0.0024499893,247.45161,1.2542,1.25461,1.25216,1.25456
2022-05-05 12:00,Green,0.0027600527,247.8088,1.25455,1.25686,1.2541,1.25686
2022-05-05 13:00,Red,0.0035299063,248.8861,1.25686,1.25777,1.25424,1.25443
2022-05-05 14:00,Red,0.019960046,258.9218,1.25442,1.25794,1.23798,1.2394
2022-05-05 15:00,Red,0.0052700043,260.83844,1.2394,1.24135,1.23608,1.23885
2022-05-05 16:00,Red,0.0037999153,261.3384,1.23889,1.2412,1.2374,1.23852
2022-05-05 17:00,Red,0.0025099516,258.89194,1.23856,1.23859,1.23608,1.23738
2022-05-05 18:00,Red,0.0047199726,260.01688,1.23738,1.23738,1.23266,1.23277
2022-05-05 19:00,Green,0.002030015,259.92755,1.23277,1.23461,1.23258,1.23374
2022-05-05 20:00,Red,0.0037100315,260.51688,1.23375,1.23623,1.23252,1.23254
2022-05-05 21:00,Green,0.002769947,261.26086,1.23253,1.23523,1.23246,1.23489
2022-05-05 22:00,Green,0.0020099878,261.93353,1.23495,1.2369,1.23489,1.23647
2022-05-05 23:00,Red,0.0014500618,261.70145,1.23647,1.23667,1.23522,1.23566
2022-05-06 00:00,Neutral,0.0007200241,261.56458,1.23559,1.23624,1.23552,1.23559
2022-05-06 01:00,Green,0.001760006,261.47525,1.23565,1.2373,1.23554,1.23729
2022-05-06 02:00,Red,0.0013899803,261.68353,1.23725,1.23725,1.23586,1.23622
2022-05-06 03:00,Green,0.0021300316,261.99316,1.23622,1.23798,1.23585,1.23657
2022-05-06 04:00,Red,0.003770113,263.4754,1.23657,1.23705,1.23328,1.23439
2022-05-06 05:00,Green,0.0020599365,264.00516,1.23438,1.23611,1.23405,1.23584
2022-05-06 06:00,Green,0.0018199682,264.5289,1.23585,1.23736,1.23554,1.23687
2022-05-06 07:00,Red,0.0010199547,264.49313,1.23686,1.23728,1.23626,1.23676
2022-05-06 08:00,Red,0.0017199516,264.65982,1.23675,1.23675,1.23503,1.23532
2022-05-06 09:00,Red,0.008319974,267.83243,1.23531,1.23589,1.22757,1.2278
2022-05-06 10:00,Green,0.0063500404,269.30862,1.2278,1.23411,1.22776,1.23125
2022-05-06 11:00,Green,0.0052399635,269.92767,1.23126,1.2357,1.23046,1.23396
2022-05-06 12:00,Green,0.0020200014,267.3265,1.23396,1.2346,1.23258,1.2342
2022-05-06 13:00,Green,0.003899932,268.16574,1.23415,1.2375,1.2336,1.2374
2022-05-06 14:00,Red,0.0048900843,269.4337,1.23738,1.23792,1.23303,1.23357
2022-05-06 15:00,Red,0.005679965,270.21344,1.23357,1.23744,1.23176,1.23227
2022-05-06 16:00,Green,0.0047199726,270.54672,1.23222,1.23478,1.23006,1.23232
2022-05-06 17:00,Green,0.0036699772,269.011,1.23233,1.23587,1.2322,1.23507
2022-05-06 18:00,Red,0.0026500225,267.9395,1.23505,1.23695,1.2343,1.23439
2022-05-06 19:00,Green,0.00206995,267.36212,1.23438,1.23612,1.23405,1.23565
2022-05-06 20:00,Red,0.0028600693,268.22525,1.23566,1.23617,1.23331,1.2334
2022-05-06 21:00,Red,0.001470089,267.59436,1.2334,1.23449,1.23302,1.23308
2022-05-06 22:00,Green,0.0026599169,268.50504,1.23308,1.23488,1.23222,1.23419
2022-05-06 23:00,Red,0.0017999411,269.03473,1.23419,1.23419,1.23239,1.23246
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
